Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales
My Virtual Tutor: Reading Adventure Kindergarten to First,DS,2009,Misc,Mentor Interactive,0.23,0,0,0.02
Michael Jackson: The Experience,DS,2010,Misc,Ubisoft,0.21,0.02,0,0.02
Beyblade: Metal Fusion,DS,2009,Role-Playing,Hudson Soft,0.07,0.03,0.14,0.01
The Backyardigans,DS,2009,Adventure,Take-Two Interactive,0.23,0,0,0.02
Freshly-Picked: Tingle's Rosy Rupeeland,DS,2006,Role-Playing,Nintendo,0,0.01,0.24,0
Littlest Pet Shop: Country Friends,DS,2009,Simulation,Electronic Arts,0.23,0,0,0.02
Indiana Jones and the Staff of Kings,DS,2009,Action,Activision,0.16,0.07,0,0.02
Wipeout 2,DS,2011,Misc,Activision,0.23,0,0,0.02
Tales of Hearts,DS,2008,Role-Playing,Namco Bandai Games,0,0,0.24,0
That's So Raven: Psychic on the Scene,DS,2006,Adventure,Disney Interactive Studios,0.23,0,0,0.02
Tongari Boushi to Oshare na Mahou Tsukai,DS,2011,Action,Konami Digital Entertainment,0,0,0.24,0
Disney Stitch Jam,DS,2009,Misc,Disney Interactive Studios,0.07,0,0.16,0.01
Percy Jackson and the Olympians: The Lightning Thief,DS,2010,Role-Playing,Activision,0.22,0.01,0,0.02
Paws & Claws: Pet Resort,DS,2008,Simulation,THQ,0.22,0,0,0.02
Final Fantasy Fables: Chocobo Tales,DS,2006,Adventure,Ubisoft,0.1,0.01,0.12,0.01
Imagine: Teacher Class Trip,DS,2009,Adventure,Ubisoft,0.1,0.12,0,0.02
The Incredible Hulk,DS,2008,Action,Sega,0.22,0,0,0.02
Luminous Arc,DS,2007,Role-Playing,Rising Star Games,0.16,0,0.06,0.01
Juiced 2: Hot Import Nights,DS,2007,Racing,THQ,0.22,0,0,0.02
Cradle of Rome,DS,2008,Puzzle,Rising Star Games,0.05,0.15,0,0.03
Avalon Code,DS,2008,Role-Playing,Rising Star Games,0.11,0,0.12,0.01
Amazing Adventures: The Forgotten Ruins,DS,2008,Adventure,PopCap Games,0.13,0.08,0,0.02
Imagine: Zookeeper,DS,2009,Simulation,Ubisoft,0.15,0.06,0,0.02
Naruto: Path of the Ninja 2,DS,2006,Role-Playing,Takara Tomy,0.22,0,0,0.02
Are You Smarter than a 5th Grader? Game Time,DS,2009,Puzzle,THQ,0.22,0,0,0.02
Love Plus +,DS,2010,Simulation,Konami Digital Entertainment,0,0,0.23,0
Disney's A Christmas Carol,DS,2009,Adventure,Disney Interactive Studios,0.21,0.01,0,0.02
Transformers: War for Cybertron (DS Version),DS,2010,Shooter,Activision,0.21,0.01,0,0.02
Sands of Destruction,DS,2008,Role-Playing,Sega,0.09,0,0.13,0.01
Harry Potter and the Goblet of Fire,DS,2005,Action,Electronic Arts,0.2,0.01,0,0.02
Shrek's Carnival Craze Party Games,DS,2008,Misc,Activision,0.22,0,0,0.02
Hotel for Dogs,DS,2008,Simulation,505 Games,0.22,0,0,0.02
Scrabble (Others sales),DS,2009,Puzzle,Ubisoft,0,0.23,0,0
Loving Life with Hello Kitty & Friends,DS,2011,Misc,Rising Star Games,0.13,0.07,0,0.02
Meteos,DS,2005,Puzzle,Nintendo,0.15,0.01,0.06,0.01
Shaun White Snowboarding,DS,2008,Sports,Ubisoft,0.21,0,0,0.02
Jewels of the Tropical Lost Island,DS,2010,Puzzle,Storm City Games,0.11,0.1,0,0.02
Sherlock Holmes and the Mystery of Osborne House,DS,2010,Adventure,Focus Home Interactive,0.07,0.14,0,0.03
What's Cooking? Jamie Oliver,DS,2008,Simulation,Atari,0.2,0.01,0,0.02
Saka-Tsuku DS: Touch and Direct,DS,2008,Sports,Sega,0,0,0.23,0
Lunar Knights,DS,2006,Role-Playing,Konami Digital Entertainment,0.17,0.01,0.04,0.01
Hot Wheels: Beat That!,DS,2007,Racing,Activision,0.21,0,0,0.02
Naruto: Ninja Council 2 European Version,DS,2005,Fighting,Tomy Corporation,0,0,0.23,0
I Love Horses,DS,2008,Simulation,GSP,0.21,0,0,0.01
Pokemon Gold/Pokemon Silver,GB,1999,Role-Playing,Nintendo,9,6.18,7.2,0.71
Super Mario Land,GB,1989,Platform,Nintendo,10.83,2.71,4.18,0.42
Pokémon Yellow: Special Pikachu Edition,GB,1998,Role-Playing,Nintendo,5.89,5.04,3.12,0.59
Super Mario Land 2: 6 Golden Coins,GB,1992,Adventure,Nintendo,6.16,2.04,2.69,0.29
Pokémon Crystal Version,GB,2000,Role-Playing,Nintendo,2.55,1.56,1.29,0.99
Dr. Mario,GB,1989,Puzzle,Nintendo,2.18,0.96,2,0.2
Pokemon Pinball,GB,1999,Misc,Nintendo,3.02,1.12,1.01,0.16
Super Mario Land 3: Wario Land,GB,1994,Platform,Nintendo,2.49,0.98,1.57,0.15
Kirby's Dream Land,GB,1992,Platform,Nintendo,2.71,0.61,1.7,0.11
Super Mario Bros.,GB,1999,Platform,Nintendo,3.4,1.3,0.15,0.22
Donkey Kong Land,GB,1994,Platform,Nintendo,1.97,0.76,1.07,0.11
The Legend of Zelda: Link's Awakening,GB,1992,Action,Nintendo,2.21,0.96,0.54,0.13
Pokémon Trading Card Game,GB,1998,Strategy,Nintendo,1.49,0.73,1.38,0.1
F-1 Race,GB,1990,Racing,Nintendo,1.73,0.69,0.59,0.4
Donkey Kong,GB,1994,Platform,Nintendo,1.57,0.62,0.55,0.34
Kirby's Dream Land 2,GB,1995,Platform,Nintendo,0.69,0.14,1.48,0.05
Donkey Kong Land II,GB,1996,Platform,Nintendo,1.39,0.48,0.4,0.08
Dragon Warrior Monsters,GB,1998,Role-Playing,Eidos Interactive,0,0,2.34,0.01
The Legend of Zelda: Link's Awakening DX,GB,1998,Adventure,Nintendo,1,0.63,0.45,0.13
Wario Land 3,GB,2000,Platform,Nintendo,1.11,0.51,0.34,0.23
Kirby's Pinball Land,GB,1992,Misc,Nintendo,0.87,0.17,1.1,0.05
Donkey Kong Country,GB,2000,Platform,Nintendo,1.04,0.72,0.3,0.13
Yu-Gi-Oh: Duel Monsters 4,GB,2000,Role-Playing,Konami Digital Entertainment,0,0,2.17,0.01
Golf,GB,1989,Sports,Nintendo,0.83,0.33,0.92,0.04
Tennis,GB,1989,Sports,Nintendo,0.75,0.3,0.9,0.04
Alleyway,GB,1989,Puzzle,Nintendo,0.96,0.38,0.55,0.05
Tetris DX,GB,1998,Puzzle,Nintendo,1.06,0.6,0.2,0.07
The Legend of Zelda: Oracle of Ages,GB,2001,Action,Nintendo,0.92,0.53,0.41,0.06
The Legend of Zelda: Oracle of Seasons,GB,2001,Adventure,Nintendo,0.87,0.52,0.41,0.06
Metroid II: Return of Samus,GB,1991,Adventure,Nintendo,0.85,0.31,0.56,0.04
Harry Potter and the Sorcerer's Stone,GB,2001,Action,Electronic Arts,0.94,0.62,0.1,0.07
Yoshi's Cookie,GB,1992,Puzzle,Nintendo,0.59,0.24,0.82,0.03
Mega Man & Bass,GBA,2002,Platform,Capcom,0.16,0.06,0,0
Barbie as The Island Princess,GBA,2007,Adventure,Activision,0.16,0.06,0,0
Mega Man Battle Network 5: Team Colonel / Protoman,GBA,2004,Role-Playing,Capcom,0.16,0.06,0,0
EX Monopoly,GBA,2001,Misc,Takara,0.16,0.06,0,0
Breath of Fire,GBA,2001,Role-Playing,Ubisoft,0.11,0.04,0.06,0
Hamtaro: Ham-Ham Games,GBA,2004,Sports,Nintendo,0.16,0.06,0,0
Danny Phantom: The Ultimate Enemy,GBA,2005,Action,THQ,0.16,0.06,0,0
Mega Man Zero 3,GBA,2004,Platform,Capcom,0.16,0.06,0,0
Nicktoons Collection: Game Boy Advance Video Volume 2,GBA,2004,Misc,N/A,0.16,0.06,0,0
Duel Masters: Kaijudo Showdown,GBA,2004,Misc,Atari,0.16,0.06,0,0
The Lord of the Rings: The Third Age,GBA,2004,Role-Playing,Electronic Arts,0.16,0.06,0,0
Disney's Magical Quest Starring Mickey and Minnie,GBA,2002,Action,Nintendo,0.16,0.06,0,0
Naruto: Ninja Council,GBA,2003,Action,Tomy Corporation,0.16,0.06,0,0
Samurai Jack: The Amulet of Time,GBA,2003,Platform,Zoo Digital Publishing,0.16,0.06,0,0
American Idol,GBA,2003,Misc,Codemasters,0.15,0.06,0,0
Britney's Dance Beat,GBA,2002,Misc,THQ,0.15,0.06,0,0
Robotech: The Macross Saga,GBA,2002,Shooter,TDK Mediactive,0.15,0.06,0,0
Famicom Mini: Ganbare Goemon! Karakuri Douchuu,GBA,2004,Platform,Konami Digital Entertainment,0,0,0.2,0.01
Shrek: Reekin' Havoc,GBA,2003,Platform,TDK Mediactive,0.15,0.06,0,0
SpongeBob SquarePants: Game Boy Advance Video Volume 3,GBA,2004,Misc,N/A,0.15,0.05,0,0
Final Fight One,GBA,2001,Fighting,Ubisoft,0.09,0.03,0.08,0
Power Rangers: Wild Force,GBA,2002,Action,THQ,0.15,0.05,0,0
Mary-Kate and Ashley: Girls Night Out,GBA,2002,Misc,Acclaim Entertainment,0.15,0.05,0,0
Beyblade G-Revolution,GBA,2004,Action,Atari,0.15,0.05,0,0
CandyLand / Chutes & Ladders / Memory,GBA,2005,Misc,Zoo Digital Publishing,0.15,0.05,0,0
Rocket Power: Zero Gravity Zone,GBA,2003,Sports,THQ,0.14,0.05,0,0
Harvest Moon: More Friends of Mineral Town,GBA,2003,Simulation,Ubisoft,0.14,0.05,0,0
X2: Wolverine's Revenge,GBA,2003,Platform,Activision,0.14,0.05,0,0
Super Dodge Ball Advance,GBA,2001,Sports,Ubisoft,0.14,0.05,0,0
Namco Museum: 50th Anniversary,GBA,2005,Misc,Namco Bandai Games,0.14,0.05,0,0
Backyard Hockey,GBA,2003,Sports,Atari,0.14,0.05,0,0
Ratatouille,GBA,2007,Action,THQ,0.14,0.05,0,0
The Fairly Odd Parents: Enter the Cleft,GBA,2002,Platform,THQ,0.14,0.05,0,0
Power Rangers: Time Force,GBA,2001,Action,THQ,0.14,0.05,0,0
Dexter's Lab Chess Challenge,GBA,2002,Misc,BAM! Entertainment,0.14,0.05,0,0
The Hobbit,GBA,2003,Platform,Vivendi Games,0.14,0.05,0,0
Breath of Fire II,GBA,2001,Role-Playing,Ubisoft,0.14,0.05,0,0
Dinotopia: The Timestone Pirates,GBA,2002,Action,TDK Core,0.14,0.05,0,0
Tales of the World: Narikiri Dungeon 2,GBA,2002,Role-Playing,Namco Bandai Games,0,0,0.19,0
Dave Mirra Freestyle BMX 2,GBA,2001,Sports,Acclaim Entertainment,0.14,0.05,0,0
The Polar Express,GBA,2004,Adventure,THQ,0.14,0.05,0,0
Frogger's Adventures 2: The Lost Wand,GBA,2002,Adventure,Konami Digital Entertainment,0.14,0.05,0,0
SSX Tricky,GBA,2002,Sports,Electronic Arts,0.14,0.05,0,0
Lunar Legend,GBA,2002,Role-Playing,Media Rings,0.14,0.05,0,0
Crash & Spyro Superpack,GBA,2005,Platform,Vivendi Games,0.13,0.05,0,0
Thomas the Tank Engine & Friends,GBA,2004,Adventure,N/A,0.13,0.05,0,0
The Scorpion King: Sword of Osiris,GBA,2002,Action,Vivendi Games,0.13,0.05,0,0
Jackie Chan Adventures: Legend of the Dark Hand,GBA,2001,Action,Activision,0.13,0.05,0,0
Sports Illustrated for Kids: Football,GBA,2003,Sports,BAM! Entertainment,0.13,0.05,0,0
Super Robot Taisen J,GBA,2005,Strategy,Banpresto,0,0,0.18,0
Jurassic Park III: Island Attack,GBA,2001,Adventure,Konami Digital Entertainment,0.13,0.05,0,0
Atari Anniversary Advance,GBA,2002,Misc,Atari,0.13,0.05,0,0
Pokémon I Choose You / Squirtle Squad Game Boy Advance Video,GBA,2004,Misc,Nintendo,0.13,0.05,0,0
Batman: Vengeance,GBA,2001,Adventure,Ubisoft,0.13,0.05,0,0
Tiger Woods PGA Tour 2004,GBA,2003,Sports,Electronic Arts,0.13,0.05,0,0
The Game of Life / Yahtzee / Payday,GBA,2005,Misc,Zoo Digital Publishing,0.13,0.05,0,0
All Grown Up! Express Yourself,GBA,2004,Misc,THQ,0.13,0.05,0,0
Looney Tunes: Back in Action,GBA,2003,Platform,Electronic Arts,0.13,0.05,0,0
Virtua Tennis,GBA,2002,Sports,Atari,0.13,0.05,0,0
ESPN X Games Skateboarding,GBA,2001,Sports,Konami Digital Entertainment,0.13,0.05,0,0
Backyard Basketball,GBA,2004,Sports,Atari,0.13,0.05,0,0
Scooby-Doo! Unmasked,GBA,2005,Platform,THQ,0.13,0.05,0,0
Teen Titans,GBA,N/A,Action,Unknown,0.13,0.05,0,0
Sports Illustrated for Kids: Baseball,GBA,2001,Sports,BAM! Entertainment,0.12,0.05,0,0
World Championship Poker,GBA,2004,Misc,Crave Entertainment,0.12,0.05,0,0
ESPN Final Round Golf 2002,GBA,2001,Sports,Konami Digital Entertainment,0.12,0.05,0,0
Hello Kitty: Happy Party Pals,GBA,2005,Misc,THQ,0.12,0.05,0,0
Tak: The Great Juju Challenge,GBA,2005,Platform,THQ,0.12,0.05,0,0
Batman Begins,GBA,2005,Action,Electronic Arts,0.12,0.05,0,0
Dragon Ball GT: Game Boy Advance Video Volume 1,GBA,2004,Misc,N/A,0.12,0.05,0,0
Codename: Kids Next Door: Game Boy Advance Video Volume 1,GBA,2004,Misc,N/A,0.12,0.05,0,0
Pokémon Beach Blank-out Blastoise / Go West Young Meowth Game Boy Advance Video,GBA,2004,Misc,Nintendo,0.12,0.05,0,0
Disney's Home on the Range,GBA,2004,Action,Disney Interactive Studios,0.12,0.04,0,0
Gyakuten Saiban 3,GBA,2004,Adventure,Capcom,0,0,0.16,0
Teenage Mutant Ninja Turtles: Game Boy Advance Video Volume 1,GBA,2004,Misc,N/A,0.12,0.04,0,0
James Bond 007: Everything or Nothing,GBA,2003,Shooter,Electronic Arts,0.12,0.04,0,0
Matchbox Cross Town Heroes,GBA,2002,Racing,THQ,0.12,0.04,0,0
Wolfenstein 3D,GBA,2002,Shooter,BAM! Entertainment,0.12,0.04,0,0
Mousetrap / Operation / Simon,GBA,2005,Misc,DSI Games,0.12,0.04,0,0
Hot Wheels Velocity X,GBA,2002,Racing,THQ,0.12,0.04,0,0
Paws & Claws: Pet Resort,GBA,2006,Simulation,THQ,0.12,0.04,0,0
Curious George,GBA,2006,Action,Namco Bandai Games,0.12,0.04,0,0
Tom and Jerry: Infurnal Escape,GBA,2003,Action,Ubisoft,0.12,0.04,0,0
Let's Ride: Sunshine Stables,GBA,2005,Sports,DTP Entertainment,0.12,0.04,0,0
NASCAR Heat 2002,GBA,2002,Racing,Infogrames,0.12,0.04,0,0
The Wild Thornberrys: Chimp Chase,GBA,2001,Action,THQ,0.11,0.04,0,0
Konami Krazy Racers,GBA,2001,Racing,Konami Digital Entertainment,0.09,0.03,0.04,0
F-Zero: GP Legend,GBA,2003,Racing,Nintendo,0.11,0.04,0,0
Mr. Driller 2,GBA,2001,Puzzle,Namco Bandai Games,0,0,0.15,0
Power Rangers Double Pack,GBA,2005,Action,THQ,0.11,0.04,0,0
MX 2002 Featuring Ricky Carmichael,GBA,2001,Racing,THQ,0.11,0.04,0,0
He-Man: Power of Grayskull,GBA,2002,Action,TDK Mediactive,0.11,0.04,0,0
Mat Hoffman's Pro BMX 2,GBA,2002,Sports,Activision,0.11,0.04,0,0
Digimon Battle Spirit 2,GBA,2003,Fighting,Namco Bandai Games,0.11,0.04,0,0
Cartoon Network Collection: Game Boy Advance Video Special Edition,GBA,2005,Misc,N/A,0.11,0.04,0,0
The Fairly Odd Parents: Clash with the Anti-World,GBA,2005,Adventure,THQ,0.11,0.04,0,0
Prince of Persia: The Sands of Time,GBA,2003,Action,Ubisoft,0.11,0.04,0,0
Pokémon: Johto Photo Finish: Game Boy Advance Video,GBA,2004,Misc,N/A,0.11,0.04,0,0
Spongebob Squarepants / Fairly Odd Parents Double Pack,GBA,2005,Action,THQ,0.11,0.04,0,0
All-Star Baseball 2003,GBA,2002,Sports,Acclaim Entertainment,0.11,0.04,0,0
Strawberry Shortcake: Game Boy Advance Video Volume 1,GBA,2004,Misc,N/A,0.11,0.04,0,0
Street Fighter Alpha 3,GBA,2002,Fighting,Capcom,0.11,0.04,0,0
Power Pro Kun Pocket 1+2,GBA,2004,Sports,Konami Digital Entertainment,0,0,0.14,0
Medal of Honor: Infiltrator,GBA,2003,Shooter,Electronic Arts,0.11,0.04,0,0
Barbie Superpack: Secret Agent / Groovy Games,GBA,2005,Misc,Vivendi Games,0.1,0.04,0,0
Sonic Advance & Sonic Pinball Party Combo Pack,GBA,2005,Misc,Sega,0.1,0.04,0,0
Boktai: The Sun is in Your Hand,GBA,2003,Role-Playing,Konami Digital Entertainment,0.1,0.04,0,0
Elf: The Movie,GBA,2004,Action,Crave Entertainment,0.1,0.04,0,0
Tennis no Oji-Sama: Aim at The Victory!,GBA,2002,Sports,Konami Digital Entertainment,0,0,0.14,0
Rayman 3,GBA,2003,Platform,Ubisoft,0.1,0.04,0,0
Klonoa: Empire of Dreams,GBA,2001,Platform,Infogrames,0.1,0.04,0,0
Shrek 2 and Shark Tale 2-in-1 Pack,GBA,2005,Misc,Activision,0.1,0.04,0,0
Doom,GBA,2001,Shooter,Activision,0.1,0.04,0,0
Shonen Jump's Shaman King: Master of Spirits,GBA,2004,Role-Playing,Konami Digital Entertainment,0.1,0.04,0,0
Zapper: One Wicked Cricket!,GBA,2002,Platform,Infogrames,0.1,0.04,0,0
Gyakuten Saiban 2,GBA,2002,Action,Capcom,0,0,0.14,0
Jim Henson's the Muppets: On With the Show!,GBA,2003,Action,TDK Mediactive,0.1,0.04,0,0
Tim Burton's The Nightmare Before Christmas: The Pumpkin King,GBA,2005,Platform,Disney Interactive Studios,0.1,0.04,0,0
Star Wars: Jedi Power Battles,GBA,2002,Action,THQ,0.1,0.04,0,0
Shining Soul,GBA,2002,Role-Playing,Atari,0.03,0.01,0.09,0
Fear Factor: Unleashed,GBA,2004,Action,Hip Interactive,0.1,0.04,0,0
LEGO Island Xtreme Stunts,GBA,2002,Racing,LEGO Media,0.1,0.04,0,0
Hot Wheels: World Race,GBA,2003,Racing,THQ,0.1,0.04,0,0
Tomb Raider: The Prophecy,GBA,2002,Action,Ubisoft,0.1,0.04,0,0
Disney's Cinderella: Magical Dreams,GBA,N/A,Platform,Disney Interactive Studios,0.1,0.04,0,0
James Bond 007: Nightfire,GBA,2003,Shooter,Electronic Arts,0.1,0.04,0,0
Bratz,GBA,2002,Platform,Ubisoft,0.1,0.04,0,0
Baseball Advance,GBA,2002,Sports,Sega,0.1,0.04,0,0
Paperboy / Rampage,GBA,2005,Misc,Zoo Digital Publishing,0.1,0.04,0,0
WWE Survivor Series,GBA,2004,Fighting,THQ,0.09,0.04,0,0
Disney's Winnie the Pooh's Rumbly Tumbly Adventure,GBA,2005,Platform,Ubisoft,0.09,0.03,0,0
Fire ProWrestling,GBA,2001,Fighting,Spike,0.09,0.03,0,0
Digimon Racing,GBA,2004,Racing,Namco Bandai Games,0.09,0.03,0,0
Iridion II,GBA,2003,Shooter,Vivendi Games,0.09,0.03,0,0
Walt Disney Pictures Presents: The Wild,GBA,2006,Platform,Disney Interactive Studios,0.09,0.03,0,0
Ty the Tasmanian Tiger 2: Bush Rescue,GBA,2004,Platform,Electronic Arts,0.09,0.03,0,0
Pokémon: For Ho-Oh the Bells Toll!: Game Boy Advance Video,GBA,2004,Misc,Nintendo,0.09,0.03,0,0
Derby Stallion Advance,GBA,2002,Sports,Enterbrain,0,0,0.12,0
Snood,GBA,2001,Puzzle,"Destination Software, Inc",0.09,0.03,0,0
Kelly Slater's Pro Surfer,GBA,2002,Sports,Activision,0.09,0.03,0,0
Monster Truck Madness,GBA,2003,Racing,THQ,0.09,0.03,0,0
Disney's Atlantis: The Lost Empire,GBA,2001,Platform,THQ,0.09,0.03,0,0
Galidor: Defenders of the Outer Dimension,GBA,2002,Action,Electronic Arts,0.09,0.03,0,0
NHL 2002,GBA,2002,Sports,Electronic Arts,0.09,0.03,0,0
SSX 3,GBA,2003,Sports,Electronic Arts,0.09,0.03,0,0
2 Games in 1 Double Pack: Hot Wheels Velocity X / Hot Wheels World Race,GBA,2005,Racing,THQ,0.09,0.03,0,0
Crash Superpack: Crash Bandicoot 2: N-Tranced / Crash Nitro Kart,GBA,2005,Misc,Vivendi Games,0.09,0.03,0,0
Famicom Mini: TwinBee,GBA,2004,Shooter,Konami Digital Entertainment,0,0,0.12,0
Ultimate Card Games,GBA,2003,Misc,Telegames,0.09,0.03,0,0
The Bible Game,GBA,2005,Misc,Crave Entertainment,0.09,0.03,0,0
"Ed, Edd n Eddy: The Mis-Edventures",GBA,2005,Platform,Midway Games,0.08,0.03,0,0
Turok: Evolution,GBA,2002,Shooter,Acclaim Entertainment,0.08,0.03,0,0
GT Advance 2: Rally Racing,GBA,2001,Racing,THQ,0.08,0.03,0,0
Phantasy Star Collection,GBA,2002,Role-Playing,Atari,0.08,0.03,0,0
LEGO Knights' Kingdom,GBA,2004,Action,THQ,0.08,0.03,0,0
NBA Jam 2002,GBA,2002,Sports,Acclaim Entertainment,0.08,0.03,0,0
Tom Clancy's Rainbow Six: Rogue Spear,GBA,2002,Shooter,Ubisoft,0.08,0.03,0,0
Mega Man Battle Chip Challenge,GBA,2003,Misc,Capcom,0.08,0.03,0,0
Sabrina The Teenage Witch: Potion Commotion,GBA,2002,Action,Ubisoft,0.08,0.03,0,0
Pac-Man Pinball Advance,GBA,2005,Misc,Zoo Digital Publishing,0.08,0.03,0,0
Yu Yu Hakusho: Tournament Tactics,GBA,2004,Strategy,Atari,0.08,0.03,0,0
Disney's Peter Pan: Return to Never Land,GBA,2002,Platform,Ubisoft,0.08,0.03,0,0
Contra Advance: The Alien Wars EX,GBA,2002,Shooter,Konami Digital Entertainment,0.08,0.03,0,0
XXX,GBA,2002,Action,Activision,0.08,0.03,0,0
Pac-Man World 2,GBA,2005,Action,Zoo Digital Publishing,0.08,0.03,0,0
Famicom Mini: Famicom Tantei Club - Kieta Koukeisha Zenkouhen,GBA,2004,Adventure,Nintendo,0,0,0.11,0
Lady Sia,GBA,2001,Platform,TDK Mediactive,0.08,0.03,0,0
Dynasty Warriors Advance,GBA,2005,Action,Nintendo,0.08,0.03,0,0
Mega Man Zero 4,GBA,2005,Platform,Capcom,0.08,0.03,0,0
Disney Channel Collection Vol. 1,GBA,2004,Misc,N/A,0.08,0.03,0,0
Space Invaders,GBA,2002,Shooter,Activision,0.08,0.03,0,0
SimCity 2000,GBA,2003,Simulation,Zoo Digital Publishing,0.08,0.03,0,0
Banjo-Pilot,GBA,2005,Racing,THQ,0.07,0.03,0,0
Road Rash: Jailbreak,GBA,2003,Racing,Zoo Digital Publishing,0.07,0.03,0,0
Riviera: The Promised Land,GBA,2004,Role-Playing,Sting,0.07,0.03,0,0
Top Gun: Combat Zones,GBA,2004,Simulation,Mastiff,0.07,0.03,0,0
Monster Jam: Maximum Destruction,GBA,2002,Racing,Ubisoft,0.07,0.03,0,0
Van Helsing,GBA,2004,Action,Activision,0.07,0.03,0,0
L'Aigle de Guerre,GBA,2001,Strategy,Nintendo,0,0,0.1,0
Disney's The Jungle Book,GBA,2002,Platform,Ubisoft,0.07,0.03,0,0
Tom Clancy's Splinter Cell,GBA,2003,Action,Ubisoft,0.07,0.03,0,0
Famicom Mini: Famicom Tantei Club Part II - Ushiro ni Tatsu Shoujo Zenkouhen,GBA,2004,Adventure,Nintendo,0,0,0.1,0
Famicom Mini: Mappy,GBA,2004,Platform,Nintendo,0,0,0.09,0
Ultimate Muscle - The Kinnikuman Legacy: The Path of the Superhero,GBA,2002,Fighting,Banpresto,0.05,0.02,0.03,0
Castlevania Double Pack,GBA,2006,Platform,Konami Digital Entertainment,0.07,0.03,0,0
Ballistic: Ecks vs. Sever,GBA,2002,Shooter,BAM! Entertainment,0.07,0.03,0,0
Altered Beast: Guardian of the Realms,GBA,2002,Action,THQ,0.07,0.02,0,0
Barbie and the Magic of Pegasus,GBA,2005,Action,Vivendi Games,0.07,0.02,0,0
The Revenge of Shinobi,GBA,2002,Platform,Atari,0.07,0.02,0,0
Cabela's Big Game Hunter,GBA,2002,Sports,Activision Value,0.07,0.02,0,0
Bomberman Max 2: Blue Advance,GBA,2002,Puzzle,Vivendi Games,0.07,0.02,0,0
Top Gun: Firestorm Advance,GBA,2002,Shooter,Titus,0.07,0.02,0,0
Astro Boy: Omega Factor,GBA,2003,Action,THQ,0.06,0.02,0,0
2-in-1 Game Pack: Spider-Man & Spider-Man 2,GBA,2005,Platform,Activision,0.06,0.02,0,0
Super Puzzle Fighter II,GBA,N/A,Puzzle,Capcom,0.06,0.02,0,0
Bionicle,GBA,2003,Action,THQ,0.06,0.02,0,0
LEGO Star Wars II: The Original Trilogy,GBA,2006,Action,LucasArts,0.06,0.02,0,0
Top Gear Rally,GBA,2003,Racing,Kemco,0.06,0.02,0,0
Famicom Mini: Makaimura,GBA,2004,Platform,Capcom,0,0,0.08,0
ChuChu Rocket!,GBA,2001,Strategy,Atari,0.06,0.02,0,0
Monster House,GBA,2006,Adventure,THQ,0.06,0.02,0,0
Famicom Mini: Famicom Mukashi Banashi - Shin Oniga Shima Zenkouhen,GBA,2004,Adventure,Nintendo,0,0,0.08,0
Famicom Mini: Mario Bros.,GBA,2004,Platform,Nintendo,0,0,0.08,0
RockMan EXE 4.5 Real Operation,GBA,2004,Role-Playing,Capcom,0,0,0.08,0
Rescue Heroes: Billy Blazes,GBA,2003,Action,Vivendi Games,0.06,0.02,0,0
SeaWorld Adventure Parks: Shamu's Deep Sea Adventure,GBA,2005,Adventure,Activision,0.06,0.02,0,0
Zoids: Legacy,GBA,2003,Role-Playing,Tomy Corporation,0.06,0.02,0,0
Onimusha Tactics,GBA,2003,Strategy,Capcom,0.06,0.02,0,0
Ultimate Brain Games,GBA,2003,Misc,Telegames,0.06,0.02,0,0
Gundam Seed: Battle Assault,GBA,2004,Fighting,Namco Bandai Games,0.06,0.02,0,0
Famicom Mini: Adventure Island,GBA,2004,Action,Hudson Soft,0,0,0.08,0
Shining Force: Resurrection of the Dark Dragon,GBA,2004,Role-Playing,THQ,0.06,0.02,0,0
Shining Soul II,GBA,2003,Role-Playing,THQ,0.06,0.02,0,0
Metal Slug Advance,GBA,2004,Shooter,Ignition Entertainment,0.06,0.02,0,0
Gradius Galaxies,GBA,2001,Shooter,Konami Digital Entertainment,0.06,0.02,0,0
Board Game Classics,GBA,2005,Misc,"Destination Software, Inc",0.06,0.02,0,0
FIFA Soccer 2005,GBA,2004,Sports,Electronic Arts,0.06,0.02,0,0
Pinobee: Wings of Adventure,GBA,2001,Platform,Hudson Entertainment,0.06,0.02,0,0
The King of Fighters EX2: Howling Blood,GBA,2002,Fighting,Marvelous Interactive,0.06,0.02,0,0
Famicom Mini: SD Gundam World Gachapon Senshi - Scramble Wars,GBA,2004,Strategy,Nintendo,0,0,0.08,0
Famicom Mini: Star Soldier,GBA,2004,Shooter,Nintendo,0,0,0.08,0
Cartoon Network Collection: Game Boy Advance Video Volume 2,GBA,2004,Misc,N/A,0.06,0.02,0,0
Boxing Fever,GBA,2001,Sports,THQ,0.06,0.02,0,0
Pocket Dogs,GBA,2004,Misc,Agatsuma Entertainment,0.06,0.02,0,0
LEGO Soccer Mania,GBA,2002,Sports,Electronic Arts,0.06,0.02,0,0
GT Advance 3: Pro Concept Racing,GBA,2002,Racing,THQ,0.05,0.02,0,0
Dragon Ball Z: The Legacy of Goku I & II,GBA,2005,Role-Playing,Atari,0.05,0.02,0,0
Codename: Kids Next Door: Operation S.O.D.A.,GBA,2004,Platform,Global Star,0.05,0.02,0,0
Medal of Honor: Underground,GBA,2002,Shooter,Zoo Digital Publishing,0.05,0.02,0,0
